,user_id,volume,age,Vung,city,qty_swap_login,qty_swap_bank,qty_device,created_days
0,1,1626714577.6542,31.0,I,HO CHI MINH,18.0,1.0,2.0,837.0
1,6,9271012.5734,30.0,I,SINGAPORE,64.0,1.0,3.0,589.0
2,8,5666998.0,31.0,I,HO CHI MINH CITY,86.0,1.0,7.0,1332.0
3,15,175375478.50000003,30.0,III,NINH THUAN,317.0,1.0,85.0,1318.0
4,26,298586244.551,30.0,I,HO CHI MINH ,157.0,1.0,85.0,1304.0
5,67,98718421.14,28.0,III,THANH HOA,6.0,1.0,2.0,1282.0
6,88,1355913849.5345,39.0,I,HO CHI MINH,77.0,1.0,6.0,1278.0
7,99,425882619.52149993,28.0,III,DAK LAK,86.0,1.0,6.0,1277.0
8,163,9463012514.1832,27.0,III,DONG THAP,122.0,1.0,8.0,1271.0
9,313,38354788.8151,32.0,I,HO CHI MINH,42.0,1.0,6.0,1254.0
10,338,4747398.4,0.0,,,24.0,1.0,3.0,0.0
11,344,298341.0,0.0,,,31.0,1.0,1.0,0.0
12,359,459940332.3635,41.0,I,TPHCM,185.0,1.0,2.0,1246.0
13,416,197950.0,0.0,,,6.0,1.0,3.0,0.0
14,433,111750175.6767,0.0,,,7.0,1.0,3.0,0.0
15,518,12413868.5046,34.0,II,LONG AN,9.0,1.0,3.0,1218.0
16,518,12413868.5046,34.0,II,LONG AN,9.0,1.0,3.0,1218.0
17,518,12413868.5046,34.0,II,LONG AN,9.0,1.0,3.0,1218.0
18,551,3890590.2589999996,23.0,II,KHANH HOA,94.0,1.0,2.0,1212.0
19,551,3890590.2589999996,23.0,II,KHANH HOA,94.0,1.0,2.0,1212.0
20,602,518794.7876,39.0,I,HO CHI MINH,18.0,1.0,5.0,1196.0
21,685,1380776958.7346,30.0,I,SINGAPORE,593.0,2.0,5.0,1107.0
22,686,600000000.0,0.0,,,9705.0,5.0,0.0,0.0
23,690,290000000.0,0.0,,,12504.0,2.0,1.0,0.0
24,696,1126624555.5464,31.0,I,HO CHI MINH,2914.0,1.0,1.0,1139.0
25,699,43290816.7,0.0,,,23.0,1.0,3.0,0.0
26,700,371139648.2625,35.0,III,QUANG NGAI,183.0,1.0,10.0,1173.0
27,702,5060329.4158000015,0.0,,,16.0,1.0,2.0,0.0
28,705,3200.0,0.0,,,45.0,1.0,1.0,0.0
29,708,151441283.0009,30.0,I,HO CHI MINH,15.0,1.0,1.0,1172.0
30,709,8190893.6303,33.0,III,HA TINH,49.0,1.0,1.0,1172.0
31,713,2819487711.5183,48.0,I,TP HO CHI MINH,3.0,1.0,0.0,1171.0
32,727,2989509.341,21.0,I,TP HCM,30.0,1.0,5.0,1168.0
33,727,2989509.341,21.0,I,TP HCM,30.0,1.0,5.0,1168.0
34,727,2989509.341,21.0,I,TP HCM,30.0,1.0,5.0,1168.0
35,750,361922530.8221,36.0,II,NAM DINH,25.0,1.0,1.0,1164.0
36,765,5131216.4432999985,0.0,,,8.0,1.0,2.0,0.0
37,766,22919251.889000002,36.0,I,HA NOI,62.0,1.0,5.0,1164.0
38,785,292826.0,25.0,II,QUANG NAM,72.0,1.0,3.0,1061.0
39,811,10728987.568,0.0,,,34.0,1.0,0.0,0.0
40,820,655826.0,31.0,III,QUANG TRI,3.0,1.0,0.0,1161.0
41,822,3239091526.5677,42.0,II,THAI NGUYEN,188.0,1.0,3.0,1161.0
42,855,1566805976.9957,29.0,I,HA NOI,13.0,1.0,1.0,1156.0
43,890,3516137388.1274037,0.0,,,1253.0,0.0,1.0,0.0
44,892,499639765.1363001,35.0,III,BAC GIANG,65.0,1.0,5.0,1155.0
45,939,1357946386.8856,39.0,III,HA GIANG,110.0,1.0,4.0,1149.0
46,942,944082062.4745996,37.0,III,VINH,153.0,1.0,7.0,1149.0
47,950,8544265.6314,0.0,,,5.0,1.0,3.0,0.0
48,959,197885411.655,44.0,II,QUANG NAM,146.0,1.0,1.0,1149.0
49,973,11927270.5,34.0,I,HO CHI MINH,79.0,1.0,3.0,1148.0
50,976,197350130.3967,28.0,II,BEN TRE,90.0,1.0,1.0,1148.0
51,985,957207.0492,0.0,,,16.0,1.0,0.0,0.0
52,1016,187438577.5791,30.0,III,BUON MA THUOT,35.0,1.0,2.0,1143.0
53,1037,2238683442.0709,65.0,I,HO CHI MINH,95.0,1.0,1.0,1138.0
54,1040,14473136.665899998,0.0,,,593.0,0.0,2.0,0.0
55,1042,151395810.51790002,29.0,I,HO CHI MINH,62.0,1.0,1.0,1137.0
56,1047,268075571.3162,43.0,I,HANOI,37.0,1.0,0.0,1137.0
57,1056,12865497.648,45.0,II,SADEC,14.0,1.0,1.0,1136.0
58,1057,2455123522.2033005,31.0,I,HO CHI MINH,2783.0,1.0,1.0,1133.0
59,1058,194908272288.3589,0.0,,,546.0,0.0,0.0,0.0
60,1070,119017184.44399999,30.0,I,HO CHI MINH,47.0,1.0,2.0,1132.0
61,1079,242191.9629,28.0,III,VINH LONG,13.0,1.0,0.0,1130.0
62,1080,9091431270.2789,36.0,III,HA GIANG,185.0,1.0,6.0,1129.0
63,1118,241497936.75039995,68.0,III,KON TUM,111.0,1.0,10.0,1125.0
64,1122,743478887.5684999,29.0,I,BA RIA-VUNG TAU,172.0,1.0,4.0,1125.0
65,1122,743478887.5684999,29.0,I,BA RIA-VUNG TAU,172.0,1.0,4.0,1125.0
66,1122,743478887.5684999,29.0,I,BA RIA-VUNG TAU,172.0,1.0,4.0,1125.0
67,1123,357134.8087,0.0,,,131.0,1.0,4.0,0.0
68,1128,678765637.2119999,42.0,I,HO CHI MINH,48.0,1.0,4.0,1125.0
69,1131,2025589721.8036,36.0,I,HO CHI MINH,6.0,1.0,2.0,1124.0
70,1153,731916359.7099001,33.0,I,HO CHI MINH,49.0,1.0,1.0,1123.0
71,1159,139519152.08089998,24.0,I,TP. HO CHI MINH,89.0,1.0,4.0,1123.0
72,1159,139519152.08089998,24.0,I,TP. HO CHI MINH,89.0,1.0,4.0,1123.0
73,1163,89519023.1941,20.0,II,DONG HOI,33.0,1.0,3.0,1123.0
74,1167,928398032.384,0.0,,,79.0,1.0,12.0,0.0
75,1168,109967188.41600001,0.0,,,363.0,1.0,3.0,0.0
76,1182,41216292.97040001,35.0,III,VINH LONG,38.0,1.0,0.0,1122.0
77,1187,13416237.828,0.0,,,101.0,1.0,0.0,0.0
78,1199,4596308149.2971,29.0,I,HO CHI MINH,3008.0,5.0,4.0,1113.0
79,1202,5153223994.849601,27.0,II,NAM DINH,257.0,1.0,3.0,1121.0
80,1209,29462755.664,32.0,I,HAI PHONG,8.0,1.0,0.0,1120.0
81,1209,29462755.664,32.0,I,HAI PHONG,8.0,1.0,0.0,1120.0
82,1210,1292726835.2015,32.0,III,HA GIANG,108.0,1.0,0.0,1120.0
83,1213,26864708.7874,31.0,II,TAM DUONG,47.0,1.0,3.0,1120.0
84,1221,132537.6816,0.0,,,16.0,0.0,4.0,0.0
85,1222,8528926923.900804,32.0,I,HA NOI,113.0,1.0,3.0,1120.0
86,1223,1044703061.2688,31.0,III,QUANG TRI,18.0,1.0,0.0,1120.0
87,1244,11632165.508,0.0,,,118.0,1.0,0.0,0.0
88,1250,2323703.4743,36.0,III,QUANG NGAI,72.0,1.0,1.0,1096.0
89,1251,12520598.4664,21.0,III,VINH,44.0,1.0,4.0,1118.0
90,1251,12520598.4664,21.0,III,VINH,44.0,1.0,4.0,1118.0
91,1251,12520598.4664,21.0,III,VINH,44.0,1.0,4.0,1118.0
92,1251,12520598.4664,21.0,III,VINH,44.0,1.0,4.0,1118.0
93,1251,12520598.4664,21.0,III,VINH,44.0,1.0,4.0,1118.0
